CFSLGR_DataFile,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,
íËäi,100,100,,2,2,2,,
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,
0.31,0.34,-0.37,0.91,0.016,0.038,-0.006,,
0.3108,0.42,0.01,0.76,0.004,0.038,-0.006,,
0.3117,0.44,0.23,0.76,-0.003,0.036,-0.007,,
0.3125,0.42,0.24,1.03,-0.004,0.034,-0.007,,
0.3133,0.43,0.27,1.1,-0.001,0.034,-0.01,,
0.3142,0.4,0.23,1.01,0.011,0.031,-0.01,,
0.315,0.45,0.11,0.73,0.027,0.027,-0.01,,
0.3158,0.49,-0.24,0.49,0.049,0.018,-0.009,,
0.3167,0.37,-0.73,0.36,0.068,0.007,-0.007,,
0.3175,0.17,-1.06,0.11,0.073,0,-0.009,,
0.3183,0,-1.13,0.15,0.067,-0.003,-0.006,,
0.3192,0.04,-0.92,0.16,0.045,0,-0.003,,
0.32,0.11,-0.34,0.27,0.027,0.008,0,,
0.3208,0.22,0.04,0.73,0.013,0.014,0.003,,
0.3217,0.19,0.27,1.16,0.008,0.013,0.004,,
0.3225,-0.01,0.19,1.28,0.015,0.007,0.005,,
0.3233,-0.24,-0.03,1.17,0.025,0.003,0.006,,
0.3242,-0.25,-0.4,0.7,0.037,0.004,0.008,,
0.325,-0.24,-0.65,0.57,0.041,0.005,0.01,,
0.3258,-0.12,-0.82,0.53,0.033,0.014,0.008,,
0.3267,0,-0.67,0.46,0.018,0.018,0.008,,
0.3275,0.01,-0.35,0.56,0.005,0.021,0.009,,
0.3283,-0.12,-0.06,1.03,0.003,0.019,0.007,,
0.3292,-0.28,0,1.13,-0.001,0.013,0.005,,
0.33,-0.56,0.15,1.35,-0.001,0.012,0.005,,
0.3308,-0.49,-0.02,1.18,0.003,0.017,0.004,,
0.3317,-0.34,-0.07,1.05,0.003,0.026,0.004,,
0.3325,0.07,-0.12,0.79,0.006,0.04,0,,
