"[228, 152, 19, 4.5, 0]","[228, 152, 18, 4.5, 0]","[228, 180, 17, 4.5, 1]"
"[228, 162, 21, 4.5, 0]","[228, 152, 19, 4.5, 0]","[228, 152, 18, 4.5, 0]"
"[227, 147, 20, 4.5, 0]","[228, 162, 21, 4.5, 0]","[228, 152, 19, 4.5, 0]"
"[227, 143, 20, 4.5, 0]","[227, 147, 20, 4.5, 0]","[228, 162, 21, 4.5, 0]"
"[227, 143, 21, 4.5, 0]","[227, 143, 20, 4.5, 0]","[227, 147, 20, 4.5, 0]"
"[227, 138, 20, 4.5, 0]","[227, 143, 21, 4.5, 0]","[227, 143, 20, 4.5, 0]"
"[226, 137, 19, 4.5, 0]","[227, 138, 20, 4.5, 0]","[227, 143, 21, 4.5, 0]"
"[226, 137, 19, 2, 0]","[226, 137, 19, 4.5, 0]","[227, 138, 20, 4.5, 0]"
"[226, 132, 18, 9, 0]","[226, 137, 19, 2, 0]","[226, 137, 19, 4.5, 0]"
"[226, 132, 18, 6, 0]","[226, 132, 18, 9, 0]","[226, 137, 19, 2, 0]"
"[226, 188, 16, 6, 0]","[226, 132, 18, 6, 0]","[226, 132, 18, 9, 0]"
"[225, 117, 14, 6, 0]","[226, 188, 16, 6, 0]","[226, 132, 18, 6, 0]"
"[225, 117, 13, 6, 0]","[225, 117, 14, 6, 0]","[226, 188, 16, 6, 0]"
"[225, 117, 13, 6, 0]","[225, 117, 13, 6, 0]","[225, 117, 14, 6, 0]"
"[225, 117, 13, 6, 0]","[225, 117, 13, 6, 0]","[225, 117, 13, 6, 0]"
"[225, 129, 14, 6, -1]","[225, 117, 13, 6, 0]","[225, 117, 13, 6, 0]"
"[224, 146, 11, 6, -1]","[225, 129, 14, 6, -1]","[225, 117, 13, 6, 0]"
"[224, 146, 10, 6, -1]","[224, 146, 11, 6, -1]","[225, 129, 14, 6, -1]"
"[224, 146, 10, 6, -1]","[224, 146, 10, 6, -1]","[224, 146, 11, 6, -1]"
"[224, 146, 10, 6, -1]","[224, 146, 10, 6, -1]","[224, 146, 10, 6, -1]"
"[223, 138, 9, 6, -1]","[224, 146, 10, 6, -1]","[224, 146, 10, 6, -1]"
"[223, 156, 6, 6, -1]","[223, 138, 9, 6, -1]","[224, 146, 10, 6, -1]"
"[222, 161, 6, 6, -1]","[223, 156, 6, 6, -1]","[223, 138, 9, 6, -1]"
"[221, 166, 6, 6, -1]","[222, 161, 6, 6, -1]","[223, 156, 6, 6, -1]"
"[221, 184, 7, 6, -1]","[221, 166, 6, 6, -1]","[222, 161, 6, 6, -1]"
"[221, 184, 8, 6, -1]","[221, 184, 7, 6, -1]","[221, 166, 6, 6, -1]"
"[220, 183, 8, 6, -1]","[221, 184, 8, 6, -1]","[221, 184, 7, 6, -1]"
"[220, 183, 9, 2, -1]","[220, 183, 8, 6, -1]","[221, 184, 8, 6, -1]"
"[219, 176, 11, 6, -1]","[220, 183, 9, 2, -1]","[220, 183, 8, 6, -1]"
"[219, 170, 11, 6, -1]","[219, 176, 11, 6, -1]","[220, 183, 9, 2, -1]"
"[218, 163, 12, 6, -2]","[219, 170, 11, 6, -1]","[219, 176, 11, 6, -1]"
